screen_name,user_name,status_id,url,title,published_date,geoLocation
"andrewd12121","Andrew Davidson","1053132782963224576","Not Available","RT @mztru28: My mother is 70 years old and has lived in Spalding County her entire life. She said she doesn’t remember any candidate for Go…","Thu Oct 18 23:56:36 EDT 2018",
"Joe_Schmucc","Antifa Baker","1053132795550154754","Not Available","RT @TheWayWithAnoa: The video also incorrectly stated ballots had to be English only by law. #BrianKemp needs to go. Georgia secretary of s…","Thu Oct 18 23:56:39 EDT 2018",
"dissidentgoyim","J R","1053132810817626112","Not Available","RT @meh130: .@staceyabrams: "People shouldn’t have to go into agriculture or hospitality in Georgia to make a living in Georgia."
@PolitiFa…","Thu Oct 18 23:56:43 EDT 2018",
"KathyDowney11","Kathy Downey","1053132823056580608","Not Available","RT @staceyabrams: We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be…","Thu Oct 18 23:56:45 EDT 2018",
"itsmoni98_","...moni👑","1053132836029501440","Not Available","RT @staceyabrams: We were born for such a time as this.

We are Georgia, and we are ready.

Let's vote. #gapol https://t.co/NDFfYmM1Mr","Thu Oct 18 23:56:49 EDT 2018",
"NabilaChan_BTL","Nabila [Hana] #OneMoreTimeSJ","1053132861165858817","Not Available","RT @anjalienjeti: Wow. So on the SOS website #BrianKemp has an advance voting video. Take a look at who gets to vote and who doesn’t. Nice…","Thu Oct 18 23:56:55 EDT 2018",
"diva_fr_dallas","DivaFromDallas Fx","1053132861459623936","Not Available","RT @AllResistNews: Some amazing Anti-Trump voices that you want to follow. RT & share this list: 

@KamalaHarris
@BetoORourke 
@girlsreally…","Thu Oct 18 23:56:55 EDT 2018",
"KathyDowney11","Kathy Downey","1053132874763943936","https://t.co/CJjOmRjzgm","RT @drummyt: Georgia—choose candidates who will fight for you, not big insurance companies. #gapol https://t.co/CJjOmRjzgm","Thu Oct 18 23:56:58 EDT 2018",
"noalpha","Chris Russo","1053132892463923200","Not Available","RT @staceyabrams: "We Are Georgia" Bus Tour: Day Four ✅

Today, we got out the vote in Griffin and Stockbridge – and we're just getting sta…","Thu Oct 18 23:57:02 EDT 2018",
"Spookibabe","LilSuziSquirt 🌎☄️💕®️","1053132895240495104","https://t.co/EwjMjBR2hZ","RT @RacismDog: WOOF WOOF WOOF WOOF WOOF WOOF https://t.co/EwjMjBR2hZ","Thu Oct 18 23:57:03 EDT 2018",
"KathyDowney11","Kathy Downey","1053132916325261312","Not Available","RT @SarahRiggsAmico: Great night at Kennesaw State University with some of Georgia’s youngest voters. These Young Dems are passionate, info…","Thu Oct 18 23:57:08 EDT 2018",
screen_name,user_name,status_id,url,title,published_date,geoLocation
"DecosterGina","Gina DeCoster","1053137265608794113","Not Available",".@staceyabrams: "People shouldn’t have to go into agriculture or hospitality in Georgia to make a living in Georgia."
@PolitiFactGA: "Agriculture is the largest single component in the state economy."
There is more to Georgia than Atlanta. We need a governor who understands that.","Fri Oct 19 00:14:25 EDT 2018",
"steinbass56","Paul Hughes","1053137281035497477","Not Available","Georgia- If you are an independent voter and you see how many black people are being turned  away from the polls, it would be great to cast your vote in honor of those still being oppressed by racist republicans. If you believe in fairness and equality, vote for @staceyabrams","Fri Oct 19 00:14:28 EDT 2018",
"cac2529","CindyLouWho","1053137281194881025","Not Available","We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be more clear.

We only have 18 days to finish what we started. Donate to support voter outreach and let's get it done for Georgia: https://t.co/4I5jqEdWgJ #gapol https://t.co/tyxx9Et0cy","Fri Oct 19 00:14:28 EDT 2018",
"JenHayden30","Jennifer Hayden","1053137297238118401","Not Available","We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be more clear.

We only have 18 days to finish what we started. Donate to support voter outreach and let's get it done for Georgia: https://t.co/4I5jqEdWgJ #gapol https://t.co/tyxx9Et0cy","Fri Oct 19 00:14:32 EDT 2018",
"TanjaMcConnor","#WeakMenFearStrongWomen 🌊 Tanja","1053137302900199424","Not Available",""We Are Georgia" Bus Tour: Day Four ✅

Today, we got out the vote in Griffin and Stockbridge – and we're just getting started! Tomorrow, we’ll be in Dalton, Rome, Cartersville, Hiram, & Douglasville.

Make a plan to vote early, then join us on the road:
https://t.co/l8txdCmATa https://t.co/2fpJCPhxdy","Fri Oct 19 00:14:34 EDT 2018",
"kissmyash_86","Ash","1053137325956497408","Not Available","@shaunking @BrianKempGA And now Kemp is stealing elections.","Fri Oct 19 00:14:39 EDT 2018",
"kissmyash_86","Ash","1053137345451581440","Not Available","@shaunking @wendyweb47 @BrianKempGA That's how much he stole from a FRIEND. How much is he gonna steal from the state of Georgia?","Fri Oct 19 00:14:44 EDT 2018",
"Sadjaxx","Charis N.    #BiasedAgainstStupidity","1053137349025112064","Not Available","#KempCheats","Fri Oct 19 00:14:45 EDT 2018",
"rene_toledano","rene toledano","1053137367232593921","Not Available","Georgia- If you are an independent voter and you see how many black people are being turned  away from the polls, it would be great to cast your vote in honor of those still being oppressed by racist republicans. If you believe in fairness and equality, vote for @staceyabrams","Fri Oct 19 00:14:49 EDT 2018",
"BrownDykeman","J Dykeman Brown","1053137367874322432","Not Available","Please READ, SHARE WIDELY, LIKE & RT @Suntimes, “Georgia’s race for governor soiled by a conflict of interest.”
https://t.co/xbfNwJ7fRH #StaceyAbrams #VotingMatters","Fri Oct 19 00:14:49 EDT 2018",
"pamela12632553","pamela","1053137367853420544","Not Available","Radical Stacey Abrams wants to change Georgia with government-run healthcare, $13,000 in higher taxes, sanctuary cities, welfare and voting rights for illegal immigrants. RT if you agree that hardworking Georgians can't afford Abrams' extreme agenda! #gapol #tcot #gagop https://t.co/pDBmznPcKy","Fri Oct 19 00:14:49 EDT 2018",
"Califgal49","Califgal49","1053137379723116544","Not Available","Wow. So on the SOS website #BrianKemp has an advance voting video. Take a look at who gets to vote and who doesn’t. Nice messaging, Kemp. Please just #resign already. #gapol #gagov #TeamAbrams https://t.co/D4gmMeb4Cw","Fri Oct 19 00:14:52 EDT 2018",
"heartfulmom","Trump’sREALHistory","1053137403903385605","Not Available","That moment when you're canvassing and stop a woman walking dogs, and it turned out she babysitted you when you were 2 years old!

Small world!

#Gapol #HD79 GO VOTE! https://t.co/T7rnA4Tomu","Fri Oct 19 00:14:58 EDT 2018",
"debrafurtado","Debra Furtado","1053137417828478976","Not Available",""We Are Georgia" Bus Tour: Day Four ✅

Today, we got out the vote in Griffin and Stockbridge – and we're just getting started! Tomorrow, we’ll be in Dalton, Rome, Cartersville, Hiram, & Douglasville.

Make a plan to vote early, then join us on the road:
https://t.co/l8txdCmATa https://t.co/2fpJCPhxdy","Fri Oct 19 00:15:01 EDT 2018",
"Alyon_Advocate","Amy Lyon","1053137418860351489","Not Available","Wow, #Georgia pays hand writing experts to work on ballot verification!! Whatever.  @BrianKempGA - you are as corrupt as @KrisKobach1787 and maybe court will require you to go back to school too! #KempIsACheat #VoteBlue #BlueWave #ACLUVoter","Fri Oct 19 00:15:01 EDT 2018",
"eveharris22","eve harris","1053137450732843008","Not Available","This is an official Georgia video produced by the Republican running for Governor - who also happens to run elections in the state. 

Look who votes successfully, who runs the system, and whose vote gets rejected. https://t.co/a4oTLhEnnh","Fri Oct 19 00:15:09 EDT 2018",
"Jstnedge","Justin Edge","1053137453022883840","Not Available","@YugeTweeter @BrianKempGA Vote whatever you want in Ithaca, NY but stay away from Georgia","Fri Oct 19 00:15:09 EDT 2018",
